"site_id","dataset_id","LONGITUDE","LATITUDE","datatype","Month","count"
"A4","Set_A",-81.8345858,26.4378875,"datatype3",2023-03-01,1
"A4","Set_A",-81.8345858,26.4378875,"datatype4",2023-03-01,1
"A10","Set_A",-81.8116086,26.1721036,"datatype3",2023-01-01,1
"A10","Set_A",-81.8116086,26.1721036,"datatype4",2018-03-01,2
"A10","Set_A",-81.8116086,26.1721036,"datatype4",2023-01-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2013-01-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2013-02-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2013-03-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2013-04-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2013-05-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2013-06-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2013-07-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2013-08-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2013-09-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2013-10-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2013-11-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2013-12-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2014-01-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2014-02-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2014-03-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2014-04-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2014-05-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2014-06-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2014-07-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2014-08-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2014-09-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2014-10-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2014-11-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2014-12-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2015-01-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2015-02-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2015-03-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2015-04-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2015-05-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2015-06-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2015-07-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2015-08-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype1",2015-09-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2013-01-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2013-02-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2013-03-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2013-04-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2013-05-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2013-06-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2013-07-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2013-08-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2013-09-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2013-10-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2013-11-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2013-12-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2014-01-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2014-02-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2014-03-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2014-04-01,1
"A39","Set_A",-81.7784208,26.2726733,"datatype3",2014-05-01,1
